,Unnamed: 0,Operateur,X,Y,2G,3G,4G
0,0,Orange,102980.0,6847973.0,1,1,0
1,1,SFR,103113.0,6848661.0,1,1,0
2,2,Bouygue,103114.0,6848664.0,1,1,1
3,3,Orange,112032.0,6840427.0,0,1,1
4,4,Orange,115635.0,6799938.0,1,1,0
5,5,Bouygue,124571.0,6834344.0,1,1,1
6,6,Bouygue,124695.0,6799102.0,1,0,0
7,7,Orange,124754.0,6834397.0,1,1,0
8,8,Bouygue,126832.0,6850891.0,1,1,0
9,9,Orange,126839.0,6850905.0,1,1,0
10,10,SFR,127043.0,6835882.0,1,1,1
11,11,Orange,127568.0,6845233.0,1,1,1
12,12,Orange,128710.0,6798555.0,1,1,1
13,13,Bouygue,128752.0,6833527.0,1,1,1
14,14,Free,128760.0,6833539.0,0,1,1
15,15,Orange,128766.0,6833546.0,1,1,1
16,16,SFR,128770.0,6833549.0,1,1,0
17,17,Bouygue,128841.0,6844669.0,1,1,1
18,18,Free,128862.0,6844668.0,0,1,1
19,19,Free,129220.0,6848789.0,0,1,1
20,20,SFR,129264.0,6848863.0,1,1,0
21,21,Bouygue,129846.0,6839759.0,1,1,0
22,22,Orange,129865.0,6839792.0,1,1,1
23,23,Bouygue,129878.0,6798001.0,1,1,0
24,24,SFR,129879.0,6797996.0,1,1,0
25,25,Free,129898.0,6798012.0,0,1,1
26,26,SFR,130114.0,6854345.0,1,1,0
27,27,SFR,130418.0,6842903.0,1,1,0
28,28,Bouygue,133248.0,6855889.0,1,1,0
29,29,SFR,134821.0,6834024.0,1,1,1
30,30,Free,134823.0,6834038.0,0,1,1
31,31,Bouygue,135262.0,6852772.0,1,1,1
32,32,SFR,135263.0,6852800.0,1,1,0
33,33,Free,135264.0,6852783.0,0,1,0
34,34,Orange,135264.0,6852806.0,1,1,1
35,35,Orange,135485.0,6833857.0,1,1,1
36,36,Orange,136567.0,6836278.0,0,1,1
37,37,SFR,136592.0,6841494.0,0,1,0
38,38,Orange,136595.0,6841496.0,0,1,1
39,39,SFR,136658.0,6836986.0,1,1,1
40,40,Orange,136672.0,6836980.0,1,1,0
41,41,Bouygue,136709.0,6836971.0,1,1,1
42,42,SFR,136918.0,6844810.0,1,1,0
43,43,Bouygue,136926.0,6833491.0,1,1,1
44,44,SFR,137269.0,6797110.0,1,1,0
45,45,Orange,137508.0,6843513.0,1,1,1
46,46,Bouygue,137794.0,6843213.0,1,1,1
47,47,Orange,137903.0,6835712.0,1,1,1
48,48,Free,137945.0,6843006.0,0,1,1
49,49,SFR,138045.0,6836907.0,1,1,1
50,50,Free,138048.0,6836906.0,0,1,1
51,51,Bouygue,138073.0,6823980.0,1,1,1
52,52,Orange,138074.0,6823972.0,1,1,0
53,53,SFR,138177.0,6823771.0,1,1,0
54,54,Free,138179.0,6823798.0,0,1,0
55,55,SFR,138848.0,6856582.0,1,1,0
56,56,Bouygue,138848.0,6856585.0,1,1,0
57,57,Free,139223.0,6852006.0,0,1,0
58,58,Bouygue,139226.0,6852004.0,1,1,1
59,59,Orange,139381.0,6812351.0,1,1,0
60,60,SFR,139902.0,6835505.0,1,1,1
61,61,Orange,139907.0,6835500.0,1,1,0
62,62,Orange,140028.0,6795550.0,1,1,1
63,63,SFR,140032.0,6795537.0,0,1,0
64,64,Bouygue,140033.0,6795536.0,1,1,0
65,65,Free,140035.0,6795539.0,0,1,1
66,66,Orange,140057.0,6833570.0,1,1,1
67,67,SFR,140081.0,6842315.0,1,1,0
68,68,SFR,140594.0,6833532.0,1,1,1
69,69,Bouygue,140606.0,6833537.0,1,1,1
70,70,Bouygue,140746.0,6841216.0,1,1,1
71,71,Orange,140754.0,6841227.0,1,1,1
72,72,Bouygue,141217.0,6845048.0,1,1,1
73,73,Orange,141469.0,6794973.0,1,1,1
74,74,Free,141897.0,6840844.0,0,1,1
75,75,Orange,141899.0,6840848.0,1,1,1
76,76,Orange,142146.0,6834833.0,1,1,0
77,77,Orange,142162.0,6845551.0,1,1,0
78,78,Orange,142505.0,6839777.0,1,1,0
79,79,SFR,142515.0,6839739.0,1,1,0
80,80,Orange,142613.0,6818411.0,0,1,1
81,81,Orange,142726.0,6858673.0,1,1,0
82,82,Bouygue,142727.0,6858669.0,1,0,0
83,83,Orange,142764.0,6835819.0,0,1,1
84,84,SFR,143070.0,6795023.0,1,1,0
85,85,Orange,143096.0,6835223.0,1,1,0
86,86,SFR,143101.0,6835220.0,1,1,1
87,87,Orange,143246.0,6796660.0,1,1,0
88,88,Bouygue,143252.0,6836009.0,1,1,1
89,89,Bouygue,143253.0,6796649.0,1,1,0
90,90,Free,143261.0,6796657.0,0,1,1
91,91,SFR,143346.0,6834453.0,1,1,1
92,92,Bouygue,143534.0,6835381.0,1,1,1
93,93,SFR,143693.0,6838607.0,1,1,1
94,94,Orange,143706.0,6835896.0,1,1,1
95,95,Bouygue,143721.0,6836353.0,0,1,0
96,96,Bouygue,143744.0,6836137.0,1,1,1
97,97,Free,143846.0,6836139.0,0,1,1
98,98,SFR,143853.0,6836141.0,1,1,1
99,99,Orange,144094.0,6837276.0,1,1,1
100,100,SFR,144485.0,6820483.0,1,1,0
101,101,Free,144487.0,6820496.0,0,1,1
102,102,Orange,144607.0,6820243.0,1,1,1
103,103,SFR,144607.0,6846681.0,1,0,0
104,104,Bouygue,144650.0,6835630.0,1,1,1
105,105,SFR,144663.0,6835636.0,1,1,1
106,106,Free,144668.0,6835629.0,0,1,1
107,107,Bouygue,144702.0,6838541.0,1,1,1
108,108,Free,144775.0,6838411.0,0,1,1
109,109,Orange,144789.0,6838423.0,1,1,1
110,110,Orange,144796.0,6835589.0,1,1,1
111,111,SFR,144880.0,6856807.0,1,1,1
112,112,Orange,145035.0,6836166.0,0,1,1
113,113,SFR,145056.0,6841887.0,1,1,1
114,114,Orange,145060.0,6841895.0,1,1,0
115,115,Bouygue,145061.0,6841894.0,1,1,1
116,116,Free,145062.0,6841894.0,0,1,1
117,117,Bouygue,145154.0,6836575.0,1,1,1
118,118,SFR,145204.0,6835519.0,1,1,1
119,119,Orange,145216.0,6837970.0,1,1,1
120,120,SFR,145218.0,6837969.0,1,1,1
121,121,Orange,145233.0,6836599.0,1,1,1
122,122,SFR,145235.0,6836483.0,1,1,1
123,123,Free,145247.0,6836492.0,0,1,1
